earnings_per_share 每股收益EPS-基本
fully_diluted_earnings_per_share 每股收益EPS-稀释
diluted_earnings_per_share 每股收益EPS-期末股本摊薄
new_diluted_earnings_per_share 每股收益EPS-最新股本摊薄
adjusted_earnings_per_share 每股收益EPS-扣除/基本
adjusted_fully_diluted_earnings_per_share 每股收益EPS-扣除/稀释
adjusted_diluted_earnings_per_share 每股收益EPS-扣除/期末股本摊薄
book_value_per_share 每股净资产BPS
new_diluted_book_value_per_share 每股净资产BPS-最新股本摊薄
operating_cash_flow_per_share 每股经营活动产生的现金流量净额
operating_total_revenue_per_share 每股营业总收入
operating_revenue_per_share 每股营业收入
capital_reserve_per_share 每股资本公积
earned_reserve_per_share 每股盈余公积
undistributed_profit_per_share 每股未分配利润
retained_earnings_per_share 每股留存收益
cash_flow_from_operations_per_share 每股现金流量净额
ebit_per_share 每股息税前利润
free_cash_flow_company_per_share 每股企业自由现金流量
free_cash_flow_equity_per_share 每股股东自由现金流量
dividend_per_share 每股股利
return_on_equity 净资产收益率（平均）
return_on_equity_weighted_average 净资产收益率（加权）
return_on_equity_diluted 净资产收益率（摊薄）
adjusted_return_on_equity_average 净资产收益率ROE(扣除/平均)
adjusted_return_on_equity_weighted_average 净资产收益率ROE(扣除/加权)
adjusted_return_on_equity_diluted 净资产收益率ROE(扣除/摊薄)
return_on_asset 总资产报酬率ROA
return_on_asset_net_profit 总资产净利率ROA
return_on_invested_capital 投入资本回报率ROIC
annual_return_on_equity 年化净资产收益率
annual_return_on_asset 年化总资产报酬率
annual_return_on_asset_net_profit 年化总资产净利率
net_profit_margin 销售净利率
gross_profit_margin 销售毛利率
cost_to_sales 销售成本率
net_profit_to_revenue 净利润/营业总收入
profit_from_operation_to_revenue 营业利润/营业总收入
ebit_to_revenue 息税前利润/营业总收入
expense_to_revenue 营业总成本/营业总收入
operating_profit_to_profit_before_tax 经营活动净收益/利润总额
invesment_profit_to_profit_before_tax 价值变动净收益/利润总额
non_operating_profit_to_profit_before_tax 营业外收支净额/利润总额
income_tax_to_profit_before_tax 所得税/利润总额
adjusted_profit_to_total_profit 扣除非经常损益后的净利润/净利润
debt_to_asset_ratio 资产负债率
equity_multiplier 权益乘数
current_asset_to_total_asset 流动资产/总资产
non_current_asset_to_total_asset 非流动资产/总资产
tangible_asset_to_total_asset 有形资产/总资产
interest_bearing_debt_to_capital 带息债务/全部投入资本
current_debt_to_total_debt 流动负债/负债合计
non_current_debt_to_total_debt 非流动负债/负债合计
current_ratio 流动比率
quick_ratio 速动比率
super_quick_ratio 保守速动比率
debt_to_equity_ratio 产权比率(负债合计/归属母公司股东的权益)
equity_to_debt_ratio 归属母公司股东的权益/负债合计
equity_to_interest_bearing_debt 归属母公司股东的权益/带息债务
tangible_asset_to_debt 有形资产/负债合计
tangible_asset_to_interest_bearing_debt 有形资产/带息债务
tangible_asset_to_net_debt 有形资产/净债务
ebit_to_debt 息税折旧摊销前利润/负债合计
ocf_to_debt 经营活动产生的现金流量净额/负债合计
ocf_to_interest_bearing_debt 经营活动产生的现金流量净额/带息债务
ocf_to_current_ratio 经营活动产生的现金流量净额/流动负债
ocf_to_net_debt 经营活动产生的现金流量净额/净债务
time_interest_earned_ratio 已获利息倍数(EBIT/利息费用)
long_term_debt_to_working_capital 长期债务与营运资金比率
net_debt_to_stock_right 净债务/股权价值
interest_bearing_debt_to_stock_right 带息债务/股权价值
account_payable_turnover_rate 应付账款周转率
account_payable_turnover_days 应付账款周转天数
account_receivable_turnover_days 应收账款周转天数
inventory_turnover 存货周转率
account_receivable_turnover_rate 应收账款周转率
current_asset_turnover 流动资产周转率
fixed_asset_turnover 固定资产周转率
total_asset_turnover 总资产周转率
inc_earnings_per_share 基本每股收益(同比增长率)
inc_diluted_earnings_per_share 稀释每股收益(同比增长率)
inc_revenue 营业总收入(同比增长率)
inc_operating_revenue 营业收入(同比增长率)
inc_gross_profit 营业利润(同比增长率)
inc_profit_before_tax 利润总额(同比增长率)
inc_net_profit 归属母公司股东的净利润(同比增长率)
inc_adjusted_net_profit 归属母公司股东的净利润-扣除非经常损益(同比增长率)
inc_cash_from_operations 经营活动产生的现金流量净额(同比增长率)
inc_return_on_equity 净资产收益率(摊薄)(同比增长率)
inc_book_per_share 每股净资产(相对年初增长率)
inc_total_asset 资产总计(相对年初增长率)
du_return_on_equity 净资产收益率ROE(杜邦分析)
du_equity_multiplier 权益乘数(杜邦分析)
du_asset_turnover_ratio 总资产周转率(杜邦分析)
du_profit_margin 净利润/利润总额
du_return_on_sales 息税前利润/营业总收入
non_recurring_profit_and_loss 非经常性损益
adjusted_net_profit 扣除非经常性损益后的净利润
ebit 息税前利润EBIT
ebitda 息税折旧摊销前利润EBITDA
invested_capital 全部投入资本
working_capital 营运资本
net_working_capital 净营运资本
tangible_assets 有形资产
retained_earnings 留存收益
interest_bearing_debt 带息债务
net_debt 净债务
non_interest_bearing_current_debt 无息流动负债
non_interest_bearing_non_current_debt 无息非流动负债
fcff 企业自由现金流量FCFF
fcfe 股权自由现金流量FCFE
depreciation_and_amortization 当期计提折旧与摊销
