revenue 营业总收入
operating_revenue 营业收入
sales_discount 折扣与折让
total_expense 营业总成本
cost_of_goods_sold 营业成本
sales_tax 营业税金及附加
gross_profit 主营业务利润
other_operating_income 其他业务利润
inventory_shrinkage 存货跌价损失
selling_expense 销售费用
operating_expense 营业费用
ga_expense 管理费用
financing_expense 财务费用
period_cost 期间费用
order_cost 进货费用
prospecting_cost 勘探费用
exchange_gains_or_losses 兑汇损益
asset_depreciation 资产减值损失
profit_from_operation 营业利润
investment_income 投资收益
subsidy_income 补贴收入
non_operating_revenue 营业外收入
pnl_adjustment 以前年度损益调整
non_operating_expense 营业外支出
disposal_loss_on_asset 其中：非流动资产处置净损失
non_operating_net_profit 营业外收支净额
profit_before_tax 利润总额
income_tax 所得税
profit_from_ma 购并利润
unrealised_investment_losses 未确认投资损失
income_tax_refund 所得税返还
net_profit 净利润
net_profit_parent_company 归属于母公司所有者的净利润
net_profit_before_ma 被合并方在合并前实现的净利润
retained_profit_at_beginning 年初未分配利润
profit_available_for_distribution 可供分配的利润
statutory_welfare_reserve 提取法定公益金
staff_incentive_welfare_reserve 提取职工奖励福利基金
enterprise_expansion_reserve 提取企业发展基金
profit_available_for_owner_distribution 可供股东分配的利润
preferred_stock_dividends 应付优先股股利
other_surplus_reserve 提取任意盈余公积金
ordinary_stock_dividends 应付普通股股利
loss_on_debt_restructuring 债务重组损失
basic_earnings_per_share 基本每股收益
other_income 其他综合收益
total_income 综合收益总额
total_income_parent_company 归属于母公司所有者的综合收益总额
total_income_minority 归属于少数股东的综合收益总额
